policy,estimator,arm,estimate,std_error,ci_low,ci_high,valid,note,effective_sample_fraction,rep
fixed,difference_in_means,3,0.124962874962875,0.0205413005504595,0.0847026656883614,0.1652230842373885,True,,1.0,10
fixed,ipw,3,0.148,0.0249936025823111,0.0990134390947628,0.1969865609052371,True,,1.0,10
fixed,aipw,3,0.1327306024141783,0.0201639813308671,0.0932099252207406,0.1722512796076159,True,,1.0,10
fixed,aw_aipw,3,0.1327306024141782,0.0201639813308671,0.0932099252207405,0.1722512796076158,True,,1.0,10
fixed,difference_in_means,1,0.1405447316103379,0.0207378104982607,0.0998993699155302,0.1811900933051457,True,,1.0,11
fixed,ipw,1,0.139,0.0255408072152839,0.0889409377219626,0.1890590622780373,True,,1.0,11
fixed,aipw,1,0.1449279001277048,0.0197938998817437,0.1061325692458955,0.1837232310095142,True,,1.0,11
fixed,aw_aipw,1,0.1449279001277048,0.0197938998817437,0.1061325692458954,0.1837232310095141,True,,1.0,11
fixed,difference_in_means,2,0.1174201054887028,0.0205936161033531,0.0770573596146865,0.1577828513627192,True,,1.0,11
fixed,ipw,2,0.117,0.0251343526656442,0.0677375740006089,0.1662624259993911,True,,1.0,11
fixed,aipw,2,0.1242691546186136,0.0200760905904147,0.0849207401110373,0.1636175691261899,True,,1.0,11
fixed,aw_aipw,2,0.1242691546186135,0.0200760905904147,0.0849207401110372,0.1636175691261898,True,,1.0,11
fixed,difference_in_means,3,0.1138868103187133,0.0206404006653666,0.0734323683881182,0.1543412522493084,True,,1.0,11
fixed,ipw,3,0.109,0.0249837106221056,0.0600328269805022,0.1579671730194977,True,,1.0,11
fixed,aipw,3,0.119036109239824,0.020049294332875,0.0797402144319459,0.158332004047702,True,,1.0,11
fixed,aw_aipw,3,0.119036109239824,0.020049294332875,0.0797402144319459,0.158332004047702,True,,1.0,11
fixed,difference_in_means,1,0.0864024584001798,0.0206969427157657,0.0458371960871902,0.1269677207131693,True,,1.0,12
fixed,ipw,1,0.109,0.0257331556328544,0.0585639417510413,0.1594360582489586,True,,1.0,12
fixed,aipw,1,0.1001868071464809,0.0202981321257159,0.0604031992266421,0.1399704150663198,True,,1.0,12
fixed,aw_aipw,1,0.1001868071464809,0.0202981321257159,0.0604031992266421,0.1399704150663197,True,,1.0,12
fixed,difference_in_means,2,0.0782836948972504,0.0209338173274545,0.0372541668764989,0.1193132229180019,True,,1.0,12
fixed,ipw,2,0.081,0.0252094948314601,0.0315902980618895,0.1304097019381104,True,,1.0,12
fixed,aipw,2,0.0866769636435105,0.0200539268657109,0.0473719892381169,0.1259819380489041,True,,1.0,12
fixed,aw_aipw,2,0.0866769636435105,0.0200539268657109,0.0473719892381168,0.1259819380489041,True,,1.0,12
fixed,difference_in_means,3,0.0611010739737026,0.0209401537195924,0.020059126852569,0.1021430210948363,True,,1.0,12
fixed,ipw,3,0.056,0.0247258739423008,0.0075381775868129,0.104461822413187,True,,1.0,12
fixed,aipw,3,0.0630834576222509,0.0200316016601076,0.023822239815787,0.1023446754287147,True,,1.0,12
fixed,aw_aipw,3,0.0630834576222508,0.0200316016601076,0.023822239815787,0.1023446754287146,True,,1.0,12
fixed,difference_in_means,1,0.1591029681319741,0.0205585576570166,0.1188089355501313,0.199397000713817,True,,1.0,13
fixed,ipw,1,0.178,0.0252237598211463,0.1285623391958646,0.2274376608041353,True,,1.0,13
fixed,aipw,1,0.1581449211968761,0.0195485060572265,0.1198305533731489,0.1964592890206032,True,,1.0,13
fixed,aw_aipw,1,0.158144921196876,0.0195485060572265,0.1198305533731489,0.1964592890206031,True,,1.0,13
