policy,segment,arm,estimate,ci_low,ci_high,valid,rep
thompson,0,2,0.1503207811974262,0.004740433945541744,0.29590112844931066,True,5
thompson,0,3,0.2598300734814228,0.11290164436561734,0.40675850259722823,True,5
thompson,1,1,0.27475639260961665,0.15163975750153946,0.39787302771769384,True,5
thompson,1,2,0.2170260164897969,0.05802435015869317,0.37602768282090065,True,5
thompson,1,3,0.20158743747374014,0.056131248552812985,0.3470436263946673,True,5
thompson,2,1,0.15984640711476722,-0.05007281989097842,0.3697656341205129,True,5
thompson,2,2,-0.06480311841302515,-0.3105719354738336,0.18096569864778334,True,5
thompson,2,3,-0.23375084073862704,-0.475868115138512,0.008366433661257971,True,5
thompson,0,1,0.06037887449007208,-0.06190460054842424,0.1826623495285684,True,6
thompson,0,2,0.12332838478489684,-0.0030773459767053507,0.24973411554649905,True,6
thompson,0,3,0.15865822023187764,0.02467204113648136,0.29264439932727393,True,6
thompson,1,1,0.16899844991500487,0.049127480635558815,0.2888694191944509,True,6
thompson,1,2,0.1501914231522125,0.022191575915063627,0.2781912703893614,True,6
thompson,1,3,0.13784730704686654,-0.0103307612366563,0.2860253753303894,True,6
thompson,2,1,0.29423315219840607,0.12552830470574525,0.46293799969106686,True,6
thompson,2,2,0.10685781873769441,-0.07008956931200695,0.2838052067873958,True,6
thompson,2,3,-0.08007204424204485,-0.2780114027726054,0.11786731428851567,True,6
thompson,0,1,0.0459375607655053,-0.07102341098491535,0.16289853251592595,True,7
thompson,0,2,0.11900740068412537,0.0017493744926141974,0.23626542687563654,True,7
thompson,0,3,0.14084363881334325,-0.027942578128418383,0.3096298557551049,True,7
thompson,1,1,0.13556470287194813,0.0020853937425590885,0.2690440120013372,True,7
thompson,1,2,0.10952122262912992,-0.02259434913148259,0.24163679438974242,True,7
thompson,1,3,-0.01032593382068608,-0.1977475798730504,0.17709571223167822,True,7
thompson,2,1,0.3962789916980857,0.1875709322678237,0.6049870511283477,True,7
thompson,2,2,0.1999529780629593,0.0007322281397852404,0.3991737279861334,True,7
thompson,2,3,0.06354095189201857,-0.20488131166289514,0.3319632154469323,True,7
thompson,0,1,0.0898415557882342,-0.028743655468530527,0.20842676704499893,True,8
thompson,0,2,0.13116558777033446,0.0018457201195412887,0.26048545542112767,True,8
thompson,0,3,0.06527379593130289,-0.08030878203324357,0.21085637389584935,True,8
thompson,1,1,0.17595396428606644,0.016513734102844013,0.33539419446928886,True,8
thompson,1,2,0.11575340695875365,-0.0642766559533814,0.2957834698708887,True,8
thompson,1,3,0.01729678304617254,-0.1914804130556185,0.2260739791479636,True,8
thompson,2,1,0.24955716805260256,-0.01538325994042819,0.5144975960456333,True,8
thompson,2,2,0.07222138081390508,-0.2036366372876415,0.3480793989154517,True,8
thompson,2,3,-0.030343664129746865,-0.3515061025921747,0.29081877433268094,True,8
thompson,0,1,0.03270229358662704,-0.07756041907676328,0.14296500625001737,True,9
thompson,0,2,0.10301076099208316,-0.013628817111241226,0.21965033909540754,True,9
thompson,0,3,0.1747755054953589,0.057977646262902374,0.2915733647278154,True,9
thompson,1,1,0.1500027184608389,0.00908034791298687,0.29092508900869096,True,9
